ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
terranis;agreeo;industrie et agriculture éco-efficientes;29;5;HAUTE-GARONNE (31);" 965 000 € 

com
Sud)"; 280 726 €; 2020 - 2022;"TerraNIS est une société toulousaine spécialisée dans la conception, le 
développement et la commercialisation de services de géoinformation 
utilisant l’imagerie satellitaire dans les domaines de l’agriculture, 
l’environnement et l’aménagement du territoire. TerraNIS développe et 
commercialise ses services en France et à l’export (Europe et Amérique du 
Sud).";"cus
Le projet AGREEO – Agriculture and Environment with Earth Observation – 
porté par TerraNIS a pour ambition de développer une offre de services en 
ligne basés sur des données d’Observation de la Terre afin d’accompagner 
les acteurs des filières agricoles dans leur transition agro-écologique.
Pour cela, TerraNIS souhaite développer une infrastructure technique et 
cinq services thématiques pour livrer des préconisations et des conseils 
agronomiques afin d’améliorer la performance agro-environnementale 
des exploitations agricoles. Ces services adressent les cinq thématiques 
suivantes : pilotage de l’irrigation, modulation des apports azotés, 
caractérisation des intercultures, gestion de la couverture des sols et de la 
biodiversité."
toopi organics;recyclur;industrie et agriculture éco-efficientes;30;5;GIRONDE (33);" 977 115 € 

 OB"; 404 503 €; 2021 - 2022;"TOOPI Organics est une start-up spécialisée dans le recyclage, la 
transformation et la valorisation de l’urine humaine en produits pour 
l’agriculture et l’industrie. TOOPI Organics a été fondée en février 2019 à 
Langon (33) et dispose aujourd’hui d’une équipe de 8 salariés.";"Les objectifs du projet RECYCLUR sont axés sur le développement d’une 
gamme de biofertilisants, en utilisant l’urine comme support de culture 
pour différents micro-organismes d’intérêt. L’entreprise étudie la faisabilité 
technique et économique des nouveaux procédés développés. Elle évalue 
la répétabilité des procédés lors du passage de l’échelle laboratoire à semi-
industrielle et effectue toutes les analyses nécessaires au produit et à leur 
mise en marché.
Sa préoccupation première est d’obtenir gratuitement notre matière 
première, l’urine, pour développer des procédés low-tech et peu coûteux."
valorex;maia;alimentation durable pour la santé;51;5;ILLE-ET-VILAINE (35);" 2 896 064 € 

 OB
Les a"; 1 013 622 €; 2020 - 2023;"VALOREX est une entreprise qui développe des produits et des services, 
historiquement pour le marché de l’alimentation animale et plus 
récemment pour le marché de l’alimentation humaine. Le cœur de métier 
de VALOREX repose sur son savoir-faire dans la technologie de cuisson des 
graines oléo-protéagineuses (lin, féverole, pois, et lupin). ";"Les acides gras Oméga 3 (AGPIn-3) possèdent des propriétés qui les rendent 
intéressants dans la prévention de nombreuses pathologies métaboliques et 
inflammatoires. Sur la base d’une étude clinique menée sur des populations 
d’EHPAD, MAÏA vise à démontrer les intérêts santé et économiques d’une 
stratégie nutritionnelle préventive d’apport de ces AGPIn-3 par une offre 
dédiée de farines riches et équilibrées en AGPIn-3, complémentaire des 
apports des produits animaux, issus de filières spécifiques et durables (Bleu-
Blanc-Cœur)."
veriqloud;hyqloud;numérique deep tech;84;5;HAUTS-DE-SEINE (92); 972 879 €; 437 793 €; 2020 - 2022;"VeriQloud est une entreprise spécialisée dans les architectures, les logiciels 
et les applications pour la communication quantique. Nous développons 
des solutions permettant de déployer des architectures de communication 
quantique à de petites échelles. Cet « ethernet quantique » permet 
d’apporter les avantages de la cybersécurité quantique à de petites 
échelles.";"Le projet HyQloud vise à développer une solution de cybersécurité 
quantique dédiée aux architectures de data-centers. Cette solution repose 
sur l’architecture de communication quantique développée par VeriQloud 
pour les petites échelles. Elle comprend en outre une suite d’applications 
spécifiquement développées pour protéger les données durant leur 
communication, leur stockage et durant les calculs dont elles sont l’objet.
Grâce à notre solution, la sécurité des données est assurée pour un temps 
très long. Ceci permet à un data-center de proposer une offre de quantum 
cybersecurity as-a-service pour des clients qui ont de très hauts besoins de 
sécurité."
vmps corporation;mathia;numérique deep tech;85;5;"PYRÉNÉES-ATLANTIQUES 
(64)";" 961 485 € 

 OB"; 432 666 €; 2020 - 2022;"Notre mission est de rendre l’apprentissage personnalisé, ludique et 
engageant en tirant le meilleur des intelligences humaine et artificielle 
basées sur l’interaction à l’écrit ou à l’oral. Nos clients sont des milliers de 
familles et des collectivités ou des partenaires souhaitant être utiles pour 
leur territoire.";"Mathia contribue à faire aimer les mathématiques aux élèves en les rendant 
plus concrètes, interactives et ludiques. Nous proposons aux enseignants 
et aux parents cet assistant intelligent autonome qui leur permettra de 
gagner du temps, de suivre les progrès réalisés individuellement ainsi que 
de construire des groupes par niveau en salle de classe. Mathia propose 
aussi des parcours personnalisés de différenciation.  Mathia est l’assistant 
vocal avec visualisation 3D qui accompagne les élèves à travers des ateliers 
individuels, collectifs et / ou collaboratifs, dans des mises en pratiques 
ludiques qui s’appuient sur la projection holographique en 3 dimensions 
des mathématiques.
ORATION "
vsm s.a;siam;santé situations d’urgences;93;5;"BOUCHES-DU-RHÔNE 
(13)";" 662 233 € 

 OB"; 298 004 €; 2020 - 2022;"La société VSM, spécialiste depuis plus de 30 ans dans le domaine de 
la simulation pilotée temps réel et acteur depuis plus de 6 ans sur le 
secteur de la formation des personnels en soute dispose non seulement 
des compétences pour réfléchir à un tel sujet dans le cadre d’un projet 
de Recherche & Développement, mais aussi du soutien opérationnel 
indispensable de ses partenaires et clients comme la Sécurité Civile via 
l’ECASC de VALABRE et ses partenaires, la Gendarmerie, les services 
héliportés du SAMU, ou les services concernés de l’Assistance Publique des 
Hôpitaux de Marseille (APHM).";"VSM se propose de mener à bien le projet SiAM (Simulateur Aéromédical 
Mobile) dont l’objectif est d’étudier la faisabilité d’une solution innovante 
alliant réalité virtuelle et simulation physique, efficace pour les enjeux de 
formation décrits précédemment, et à moindre coût.
Nous optons pour le développement d’un système mobile (pour limiter les 
coûts individuels de transport et d’hébergement, c’est le simulateur qui 
se déplace chez les élèves) et modulaire (pour représenter divers aéronefs 
comme l’AH145 et l’AH135, et diverses configurations médicales à l’intérieur 
de chaque aéronef)."
waga energy;whipe;énergies renouvelables, stockage et systèmes énergétiques;19;5;ISÈRE (38);"Le p
 970 920 €"; 311 260 €; 2020 - 2022;"Waga Energy valorise le biogaz des sites d’enfouissement sous forme 
de biométhane. Les unités d’épuration, WAGABOX®, garantissent un 
biométhane de haute qualité, quelle que soit la qualité du biogaz brut. 
Celui-ci peut être injecté directement dans les réseaux de distribution de 
gaz ou utilisé comme carburant pour les véhicules.";"Le projet WHIPE a pour objet de contribuer à deux enjeux majeurs : 
la réduction des émissions de méthane contribuant au changement 
climatique et la production de gaz renouvelable à un prix compétitif.
Le succès de la WAGABOX® en France démontre la faisabilité de l’épuration 
du biogaz d’Installation de stockage de déchets non dangereux (ISDND) 
pour produire du biométhane injecté dans les réseaux. Le projet WHIPE 
a pour objet d’ajouter une innovation permettant d’améliorer le taux 
d’extraction et la qualité du biométhane produit et ainsi de réduire le coût 
de production du biométhane, condition sine qua non à son déploiement 
mondial."
watt&well;uncaged;énergies renouvelables, stockage et systèmes énergétiques;20;5;"VAUCLUSE (84)

 ESSONNE (91)";"L’obj
et fa
 4 735 704 €"; 2 131 067 €; 2020 - 2023;"Watt&Well est une PME spécialisée dans la conversion de puissance. 
L’expérience industrielle pour des applications exigeantes (pétrole et gaz, 
mobilité électrique, spatial), son succès commercial à l’export (filiale US 
depuis 2016), ainsi que l’expertise technologique de W&W l’ont conduit à 
se diversifier vers la mobilité depuis plusieurs années.";"L’objectif du projet est de développer des modules de puissance modulaires 
et faciles à mettre en œuvre intégrant un algorithme de charge intelligent 
et capables d’assurer l’ensemble des services au réseau électrique.
Grâce au projet UNCAGED, W&W souhaite asseoir son avantage concurrentiel 
dans l’infrastructure de recharge pour les véhicules électriques :
• En proposant le module de puissance le plus simple à intégrer du marché 
pour les bornes publiques de recharge rapides ;
• En capitalisant sur son expérience de pionnier sur le V2G pour devenir un 
acteur clé sur ce marché à venir."
womed;womed hemostasis;santé situations d’urgences;94;5;HÉRAULT (34);" 963 282 € 

 OB"; 433 476 €; 2020 - 2022;"La mission de Womed est d’aider les femmes à améliorer leur fertilité et à 
se soigner en protégeant et réparant l’utérus. La société développe deux 
dispositifs médicaux innovants : un pansement qui empêche les fausses 
couches suite à une intervention chirurgicale, et un autre pour stopper les 
saignements utérins.";"L’objectif de Womed Hemostasis est d’améliorer la prise en charge des 
patientes souffrant d’hémorragie utérine sévère aigüe, qui représente la 
première cause de venue aux urgences gynécologiques, soit 100.000 passages 
par an en France. Une solution rapide et efficace permettra d’augmenter 
l’efficience du fonctionnement du service et donc de désengorger les 
urgences et de réduire les coûts.
L’innovation est un dispositif médical qui arrête net les saignements utérins 
sévères en moins d’une heure et permet à la patiente de rentrer rapidement 
chez elle. La technologie est fondée sur un polymère breveté utilisé dans le 
produit Womed Leaf, un pansement qui empêche l’accolement des parois 
de l’utérus et qui a déjà obtenu le marquage CE."
amiral technologies;p2_ai4;numérique deep tech;41;6;ISÈRE (38);" 2 626 127 € 

des 
signi"; 1 181 757 €; 2021 - 2023;"Amiral Technologies adresse le marché de la Maintenance Prédictive 
Industrielle par intelligence artificielle. Elle porte une innovation du CNRS 
de Grenoble extrayant automatiquement les indicateurs de santé des 
données physiques issues des machines permettant une génération rapide 
des modèles prédictifs spécifiques à chaque équipement avec un gain 
significatif en performances.";"La solution DiagFit pour la prédiction à l’aveugle de pannes d’équipements 
industriels d’Amiral Technologies a été adoubée par la communauté 
Deeptech (I-lab 2019, sélection NETVA) et les industriels (Thales, Daher, 
Valéo, etc.) 
Le projet P2_AI4 vise à augmenter le périmètre d’application par 
l’augmentation de sa capabilité algorithmique, de ses fonctionnalités et de 
ses modalités de déploiement. Ceci afin de répondre aux attentes d’un 
marché plus vaste."
